PING 10.0.2.22 (10.0.2.22) 56(84) bytes of data.
64 bytes from 10.0.2.22: icmp_seq=285 ttl=63 time=489 ms
64 bytes from 10.0.2.22: icmp_seq=286 ttl=63 time=489 ms
64 bytes from 10.0.2.22: icmp_seq=287 ttl=63 time=489 ms
64 bytes from 10.0.2.22: icmp_seq=288 ttl=63 time=489 ms
64 bytes from 10.0.2.22: icmp_seq=289 ttl=63 time=500 ms
64 bytes from 10.0.2.22: icmp_seq=290 ttl=63 time=500 ms
64 bytes from 10.0.2.22: icmp_seq=291 ttl=63 time=498 ms
64 bytes from 10.0.2.22: icmp_seq=292 ttl=63 time=501 ms
64 bytes from 10.0.2.22: icmp_seq=293 ttl=63 time=500 ms
64 bytes from 10.0.2.22: icmp_seq=294 ttl=63 time=491 ms
64 bytes from 10.0.2.22: icmp_seq=295 ttl=63 time=488 ms
64 bytes from 10.0.2.22: icmp_seq=296 ttl=63 time=494 ms
64 bytes from 10.0.2.22: icmp_seq=297 ttl=63 time=503 ms
64 bytes from 10.0.2.22: icmp_seq=298 ttl=63 time=505 ms
64 bytes from 10.0.2.22: icmp_seq=299 ttl=63 time=505 ms
64 bytes from 10.0.2.22: icmp_seq=300 ttl=63 time=515 ms
64 bytes from 10.0.2.22: icmp_seq=301 ttl=63 time=511 ms
64 bytes from 10.0.2.22: icmp_seq=302 ttl=63 time=507 ms
64 bytes from 10.0.2.22: icmp_seq=303 ttl=63 time=525 ms
64 bytes from 10.0.2.22: icmp_seq=304 ttl=63 time=527 ms
64 bytes from 10.0.2.22: icmp_seq=305 ttl=63 time=518 ms
64 bytes from 10.0.2.22: icmp_seq=306 ttl=63 time=522 ms
64 bytes from 10.0.2.22: icmp_seq=307 ttl=63 time=520 ms
64 bytes from 10.0.2.22: icmp_seq=308 ttl=63 time=504 ms
64 bytes from 10.0.2.22: icmp_seq=309 ttl=63 time=508 ms
64 bytes from 10.0.2.22: icmp_seq=310 ttl=63 time=507 ms
