PING 10.0.2.22 (10.0.2.22) 56(84) bytes of data.
64 bytes from 10.0.2.22: icmp_seq=310 ttl=63 time=8.70 ms
64 bytes from 10.0.2.22: icmp_seq=311 ttl=63 time=8.97 ms
64 bytes from 10.0.2.22: icmp_seq=312 ttl=63 time=5.11 ms
64 bytes from 10.0.2.22: icmp_seq=313 ttl=63 time=9.17 ms
64 bytes from 10.0.2.22: icmp_seq=314 ttl=63 time=7.23 ms
64 bytes from 10.0.2.22: icmp_seq=315 ttl=63 time=6.69 ms
64 bytes from 10.0.2.22: icmp_seq=316 ttl=63 time=8.96 ms
64 bytes from 10.0.2.22: icmp_seq=317 ttl=63 time=7.76 ms
64 bytes from 10.0.2.22: icmp_seq=318 ttl=63 time=5.89 ms
64 bytes from 10.0.2.22: icmp_seq=319 ttl=63 time=9.86 ms
64 bytes from 10.0.2.22: icmp_seq=320 ttl=63 time=7.70 ms
64 bytes from 10.0.2.22: icmp_seq=321 ttl=63 time=6.35 ms
64 bytes from 10.0.2.22: icmp_seq=322 ttl=63 time=9.52 ms
64 bytes from 10.0.2.22: icmp_seq=323 ttl=63 time=7.72 ms
64 bytes from 10.0.2.22: icmp_seq=324 ttl=63 time=6.80 ms
64 bytes from 10.0.2.22: icmp_seq=325 ttl=63 time=9.15 ms
64 bytes from 10.0.2.22: icmp_seq=326 ttl=63 time=7.16 ms
64 bytes from 10.0.2.22: icmp_seq=327 ttl=63 time=6.01 ms
64 bytes from 10.0.2.22: icmp_seq=328 ttl=63 time=4.93 ms
64 bytes from 10.0.2.22: icmp_seq=329 ttl=63 time=8.73 ms
64 bytes from 10.0.2.22: icmp_seq=330 ttl=63 time=7.08 ms
64 bytes from 10.0.2.22: icmp_seq=331 ttl=63 time=4.74 ms
64 bytes from 10.0.2.22: icmp_seq=332 ttl=63 time=8.21 ms
64 bytes from 10.0.2.22: icmp_seq=333 ttl=63 time=7.01 ms
64 bytes from 10.0.2.22: icmp_seq=334 ttl=63 time=4.37 ms
64 bytes from 10.0.2.22: icmp_seq=335 ttl=63 time=8.42 ms
64 bytes from 10.0.2.22: icmp_seq=336 ttl=63 time=6.97 ms
64 bytes from 10.0.2.22: icmp_seq=337 ttl=63 time=6.54 ms
64 bytes from 10.0.2.22: icmp_seq=338 ttl=63 time=9.72 ms
64 bytes from 10.0.2.22: icmp_seq=339 ttl=63 time=8.45 ms
64 bytes from 10.0.2.22: icmp_seq=340 ttl=63 time=5.69 ms
64 bytes from 10.0.2.22: icmp_seq=341 ttl=63 time=9.02 ms
64 bytes from 10.0.2.22: icmp_seq=342 ttl=63 time=7.03 ms
64 bytes from 10.0.2.22: icmp_seq=343 ttl=63 time=6.06 ms
64 bytes from 10.0.2.22: icmp_seq=344 ttl=63 time=9.12 ms
64 bytes from 10.0.2.22: icmp_seq=345 ttl=63 time=8.30 ms
64 bytes from 10.0.2.22: icmp_seq=346 ttl=63 time=6.46 ms
64 bytes from 10.0.2.22: icmp_seq=347 ttl=63 time=8.93 ms
64 bytes from 10.0.2.22: icmp_seq=348 ttl=63 time=9.56 ms
64 bytes from 10.0.2.22: icmp_seq=349 ttl=63 time=6.46 ms
64 bytes from 10.0.2.22: icmp_seq=350 ttl=63 time=4.97 ms
64 bytes from 10.0.2.22: icmp_seq=351 ttl=63 time=9.52 ms
64 bytes from 10.0.2.22: icmp_seq=352 ttl=63 time=7.35 ms
64 bytes from 10.0.2.22: icmp_seq=353 ttl=63 time=5.18 ms
64 bytes from 10.0.2.22: icmp_seq=354 ttl=63 time=9.14 ms
64 bytes from 10.0.2.22: icmp_seq=355 ttl=63 time=5.99 ms
64 bytes from 10.0.2.22: icmp_seq=356 ttl=63 time=5.44 ms
64 bytes from 10.0.2.22: icmp_seq=357 ttl=63 time=10.0 ms
64 bytes from 10.0.2.22: icmp_seq=358 ttl=63 time=6.90 ms
64 bytes from 10.0.2.22: icmp_seq=359 ttl=63 time=6.48 ms
64 bytes from 10.0.2.22: icmp_seq=360 ttl=63 time=9.26 ms
64 bytes from 10.0.2.22: icmp_seq=361 ttl=63 time=7.70 ms
64 bytes from 10.0.2.22: icmp_seq=362 ttl=63 time=4.80 ms
64 bytes from 10.0.2.22: icmp_seq=363 ttl=63 time=9.32 ms
64 bytes from 10.0.2.22: icmp_seq=364 ttl=63 time=6.39 ms
64 bytes from 10.0.2.22: icmp_seq=365 ttl=63 time=5.38 ms
64 bytes from 10.0.2.22: icmp_seq=366 ttl=63 time=8.19 ms
64 bytes from 10.0.2.22: icmp_seq=367 ttl=63 time=8.22 ms
64 bytes from 10.0.2.22: icmp_seq=368 ttl=63 time=6.47 ms
64 bytes from 10.0.2.22: icmp_seq=369 ttl=63 time=8.63 ms
